Ledelse og Vildledelse - Virksomhedsledelsens brug og misbrug i teori og praksis,Ole T. Krogsgaard,1. udgave fra 1992 på forlaget Børsen,ISBN: 87-7553-367-7,33521.jpg,50,6,Indb. 374sider. Som ny uden markeringer. 892gram, Ledelse & Management, Markedsføring, Organisation, Studiebøger,,,,,,,
Longman Dictionary of Contemporary English - The up-to-date learning dictionary,Paul Proctor (Editor-in-chief),1. udgave fra 1978 på forlaget Longman,ISBN: 0-582-52571-3,33390.jpg,35,6,Indb. 1303sider. Som ny. 1105gram, Studiebøger, Ordbøger & leksika, Engelsk,,,,,,,,
Organiseringen af Den europæiske Union,Peter Nedergaard, fra 1994 på Handelshøjskolens forlag,ISBN: 87-16-13249-1,33226.jpg,30,6,Indb. 371sider. Som ny. 707gram., Europa, Organisation, Politik, Samfundsvidenskab, Studiebøger,,,,,,
Tempelherrenes Indsigt - De hemmelige vogtere af Kristi sande identitet,Lynn Picknett og Clive Prince, fra 2005 på forlaget Bogan,ISBN: 87-7466-407-7,33733.jpg,45,5,"Går videre, hvor Det hellige Blod og Den hellige Gral slap. Gik Korsfæstelsen galt - hvad var Maria Magdalenes og Johannes Døberens roller - er Tempelherrerne stadig aktive - hvad røber Frimurernes traditioner ... 
Hft. 495sider. 722gram", Studiebøger, Religion,,,,,,,,,
Ringens Mestre - om bokser-mesterskaber,Kurt Thyboe,"1. udgave fra 1995 på forlaget Borgen, hft. 235 sider, ",ISBN: 8721003394,33940.jpg,35,4,, Dokumentar, Sport & fritid,,,,,,,,,
"Mod fjerne horisonter - om oplevelser i Afganistan, Nepal og Indien",Mette Rolff,"1. udgave fra 1966 på forlaget Rhodos, indb.218 sider, illustreret",,33345.jpg,35,4,, Opdagelsesrejser - ekspeditioner, Etnografi og Antropologi,,,,,,,,,
Fruen kommer i dag - Cecilie Frøkjær interviewer Lise Nørgaard,Marianne Moring (red),"1. udgave fra 2014 på forlaget Gyldendal - Indb. 327sider, illustreret. 750g.",ISBN: 978-87-02-15988-2,33639.jpg,75,6,"Lise Nørgaard lever sin alderdom, som hun har levet sit liv: engageret, forlystelsessyg og skarptseende. Hendes liv været præget af stort mod og stærke meninger, og i ”Fruen kommer i dag” ser hun sammen med Cecilie Frøkjær tilbage på sit liv, både det, der var engang, og det, der er nu –", Studiebøger, Erindringer, Biografier,,,,,,,,
Nordiske Gude- og Heltesagn,Fortalt af Niels Saxtorph - illustreret af Jørgen Hahn, fra 1984 på forlaget Danmark,ISBN: 87-15-07685-7,33759.jpg,35,4,"Indb. 285sider, illustreret med tegninger. 821gram", Skønlitteratur, Norrøna, Sagaer, Mytologi,,,,,,,
Familien Artamonov - en købmandsslægts historie.,Maxim Gorkij, på forlaget Edito ,ISBN: 87-7433-103-5,33935.jpg,25,6,"Store russiske fortællere. Indb. 307sider. Som ny. 
453 g.", Fortællinger, Skønlitteratur,,,,,,,,,
Tora-trilogien - Huset med den blinde glasveranda. Det stumme rum. Hudløs himmel,Herbjørg Wassmo,1. udgave fra 2000 på forlaget Lindhardt og Ringhof,ISBN: 87-595-1347-0,33994.jpg,35,5,Indb. 686sider. 1155gram., Skønlitteratur, Romaner,,,,,,,,,
Naval Review 1968,"Frank Uhlig, Jr. (Editor)", fra 1968 på forlaget United States Naval Institute,,33717.jpg,30,4,"Indb. 23x29cm. 419sider, illustreret. 1812gram", Militaria,,,,,,,,,,
Krydderurtehaven - Hobby-haven,Violet Stevenson, fra 1978 på forlaget Lademann,ISBN: 87-15-07328-9,33606.jpg,15,6,"Hft. 63sider, illustreret. Som ny", Faglitteratur, Hobby, Hus & have,,,,,,,,
"Altankassen, terrassen og gårdhaven - Hobby-haven",Leslie Johns, fra 1978 på forlaget Lademann,ISBN: 87-15-07334-3,33467.jpg,15,6,"Hft. 63sider, illustreret. Som ny", Faglitteratur, Hobby, Hus & have,,,,,,,,
Hokus Krokus - Krukker,Britt Lilja," fra 2005 på forlaget DR-Multimedie, Indb. 71sider, illustreret. Som ny",ISBN: 87-7680-073-3,34058.jpg,25,6,, Faglitteratur, Hus & have,,,,,,,,,
"J. F. Willumsen, malerier, skulpturer og keramik",V. Jastrau, fra 1928 på forlaget G.E.C Gads ,,33665.jpg,25,3,"Kunstbog. Indb. 72sider. Udg.biblioteksbog med en biografisk indledning og 68 s/h fotos af kunstnerens værker. Udv.brugsspor, ellers god stand. 287g.", Kunsthistorie, Biografier,,,,,,,,,
Historien om Jazzen,Marshall Stearns, fra 1962 på forlaget Gyldendals uglebøger,,33539.jpg,25,5,Hft. 263sider. Pæn stand.  279g., Musik, Historie:Kultur,,,,,,,,,
"Borgermøbler, 1830-1880",Anton Jepsen, fra 1978 på forlaget thaning & Appels ,ISBN: 87-413-6129-6,33776.jpg,25,4,"Hft. 93sider, illustreret. Brugsspor udv.ellers god stand. 200 g.", Studiebøger, Antikviteter, Kunst & kultur, Møbler,,,,,,,
"Kaukasiske tæpper, en dansk privatsamling",Inge Lise Jensen, fra 1974 på forlaget F. Junckers Industrier,,33857.jpg,20,4,Indb. 67 s. med billeder i farver. Pæn stand. 291 g., Tæpper/tekstil, Kunst & kultur, Antikviteter,,,,,,,,
Det handler ikke om at vinde - Bogen om de danske fodboldsupportere,"Kenneth Damsgaard, Poul Dengsøe, Steffen M. Jensen", fra 1997 på forlaget Hovedland,ISBN: 87-7739-331-7,34068.jpg,25,5,"Hft. 141sider, illustreret med billeder i farver. Fin stand.  298g.", Studiebøger, Sport & fritid, Presse og Medier,,,,,,,,
"Efterklang, efterladte prædikener",Olfert Ricard, fra 1929 på forlaget O. Lohse København ,,33298.jpg,25,4,indb. 264sider.  700 gram., Studiebøger, Teologi, Religion,,,,,,,,
Kong Georgs England 1910-1935,John Buchan, fra 1935 på forlaget Steen Hasselbalchs ,,33720.jpg,25,5,Indb. 288sider. Fin stand. 800g., Royale, militære, politikere m.m., Historie:Europa, Biografier,,,,,,
Stormvarsel,Jack Higgins, fra 2007 på forlaget Aschehoug,ISBN: 978-87-11-316614-6,33890.jpg,25,5,hft. 236 sider. 191 gram, Skønlitteratur, Krigs bøger,,,,,,,,,
Uffe Harder - udvalgte digte,Bo Green Jensen (red), fra 1984 på forlaget Borgen-Gyldendal,ISBN: 87-7540-239-4,33440.jpg,25,5,"Hft. 162sider, god stand. 379g.", Digte,,,,,,,,,,
Lysår,Maggie Gee, fra 1986 på forlaget Gyldendal ,ISBN: 87-01-40724-4,34017.jpg,25,4,Hft. 386sider. Fin stand. 630g., Skønlitteratur, Romaner,,,,,,,,,
Døde sjæle - Store Russiske fortællere,Nikolaj Gogol, på forlaget Edito,ISBN: 87-7433-105-1,33641.jpg,25,6,Indb. 253sider. Som ny.  389g., Fortællinger, Skønlitteratur, Romaner,,,,,,,,
"Grønland, årbog 1952-53",red. af Kristjan Bure, fra 1952 på forlaget A Rasmussens bogtrykkeri,,33309.jpg,20,4,"Hft. 160sider, illustreret med fotos. 277 g.", Studiebøger, Samfund & historie, Grønland,,,,,,,,
Orientalske tæpper i farver,Preben Liebetrau, fra 1967 på forlaget Politikens,,33402.jpg,20,5,"indb. 132sider, illustreret. 220g.", Antikviteter, Tæpper/tekstil,,,,,,,,,
Alaska - Travel survival kit,Jim Dufresne, fra 1994 på forlaget Lonely Planet,ISBN: 0-86442-213-X,33717.jpg,30,5,"Rejseguide, engelsk tekst. Hft. 442sider, illustreret. God stand. 350g.", Studiebøger, Rejsebøger/guides,,,,,,,,,
India - a travel survival kit,"Geoff Crowther, Prakash A Raj, Tony Wheeler", fra 1987 på forlaget Lonely Planet,ISBN: 0-908086-93-8,33923.jpg,30,4,"Hft. 803aider, illustreret. God stand. 577g.", Rejsebøger/guides,,,,,,,,,,
Ecuador & the Galápagos Islands - travel survival kit,Rob Rachowiecki, fra 1992 på forlaget Lonely Planet,ISBN: 0-86442-148-6,33571.jpg,35,4,"With 32 page Galápagos wildlife guide. Hft. 474sider, illustreret. 392g.", Studiebøger, Natur, Rejsebøger/guides,,,,,,,,
Ødemarkens hemmelighed,Hammond Innes, fra 1962 på forlaget Fremad,,33334.jpg,20,4,Indb. 260sider. 337g., Skønlitteratur,,,,,,,,,,
Berømte opfindelser - Populær viden,Samuel Epstein og Beryl Williams, fra 1956 på forlaget Grafisk,,34133.jpg,25,4,Hft. 203sider. 359g., Studiebøger, Dokumentar,,,,,,,,,
Landet med de lykkelige smil - en karavanefærd gennem Burma,Aage Krarup Nielsen," fra 1947 på forlaget Nordisk. Indb. 176sider, illustreret. Fin stand",,33547.jpg,40,5,, Opdagelsesrejser - ekspeditioner,,,,,,,,,,
Oven vande,Jane Aamund, fra 1992 på forlaget Hernov,ISBN: 87-590-2215-9,33222.jpg,20,4,Hft. 248sider. 367g., Skønlitteratur,,,,,,,,,,
Dansk stednavne leksikon - Øerne øst for Storebælt,Bent Jørgensen, fra 1981 på forlaget Gyldendal ,ISBN: 87-01-97671-0,33876.jpg,30,4,"Indb. 142sider, illustreret med kort, tegninger og fotografier. Udg.biblioteksbog i fin stand.
340g.", Studiebøger, Samfundsvidenskab, Lokalhistorie,,,,,,,,
Verdens Politik Journalistik - Festskrift for Erik Reske-Nielsen,Lars Alfvegren mfl (red), fra 1980 på forlaget Centrum,ISBN: 87-583-0032-5,33341.jpg,25,4,"Hft. 191 sider, 392 gr.", Politik, Journalistik,,,,,,,,,
Dansk kunst 1993,Alex Steen - Jørgen Hansen - Bent Ivre -Preben Juul Madsen, fra 1993 på forlaget Fogtdal. Indb. 22x27cm. 274sider. Fin stand,ISBN: 8778070244,34089.jpg,50,6,, Studiebøger, Kunsthistorie,,,,,,,,,
Skagensmalerne- og deres billeder  på Skagens Museum,Knus Voss," fra 1979 på forlaget Hamlet, indb. 21x27,5cm. 220 sider",ISBN: 8773211079,33595.jpg,45,5,, Kunst & kultur, Kunsthistorie,,,,,,,,,
Psykisk arbejdsmiljø. En brugervejledning,John Graversgård, fra 2004 på forlaget Frydenlund,ISBN: 87-7887-005-4,33476.jpg,40,4,Hft. 208sider. Fin stand uden markeringer. 367g., Studiebøger, Organisation, Miljø, Faglitteratur, Dokumentar, Psykologi, Psykiatri,,,,
Bekvemt tøj - som alle kan sy,Kerstin Lokrantz, fra 1974 på forlaget Gyldendal Kubusbøger,ISBN: 87-00-09271-1,33391.jpg,20,4,Lær at sy bekvemt tøj. Indb. 106sider. Udg.biblioteksbog i fin stand. 312g., Faglitteratur, Håndarbejde/hobby/håndværk,,,,,,,,,
Danmark i tekst og billeder - før 2.verdenskrig,H.V. Clausen (red.), fra 1935 på forlaget Gyldendal,,34147.jpg,35,4,"Indb. 22x28cm. 680s. illustreret. Fin stand. 2,5kg", Studiebøger, Historie:Danmark,,,,,,,,,
Nødvendig ADVARSEL for enhver der besøger KJØBENHAVN af en mand der kjender byen,Poul Strømstad (red.), fra 1967 på forlaget Strandberg. Hft. 75sider med 59 illustrationer,ISBN: 8787200023,33813.jpg,35,6,"Bogen er oprindelig udgivet i forrige århundrede af datidens største danske skillingsviseforfatter, Jul. Strandberg. Den henvendte sig til ""folk fra landet"", som kom til København for første gang - en vejviser med malende og muntre beskrivelser af byens liv - illustreret med træsnit og fotos.", Humor, Lokalhistorie,,,,,,,,,
Spion i skærsilden,Francis Clifford, fra 1967 på forlaget Steen Hasselbalchs ,,34131.jpg,20,5,Indb. 244 sider.  491 gram., Skønlitteratur, Romaner, Krimi/spænding,,,,,,,,
Ærens vinter - om den Finsk-Russiske Krig 1939-40,Håkan Mörne, fra 1941 på forlaget Gyldendal ,,34129.jpg,20,4,Indb. 198sider. 563gram., Anden verdenskrig,,,,,,,,,,
Sejre og nederlag paa Europas slagmarker,Arvid Eriksson, fra 1941 på Nordisk forlag,,33322.jpg,30,6,Indb. 194sider. Som ny. 544gram, Krigs bøger, Historie:Europa,,,,,,,,,
Foraaret saa sagte kommer,Kaj Munk," fra 1949 på forlaget Nordisk, Arnold Busck ",,33326.jpg,25,4,Indb. læderryg med guldtryk. Udv.slidtage. 352sider. 621gram., Studiebøger, Erindringer,,,,,,,,,
Julies hus og natfar,Maria Gripe, fra 1974 på forlaget Branner og Korch ,ISBN: 87-411-1317-9,33318.jpg,20,5,"Julie og hendes natfar, Peter, fortæller om den tid, hvor det rygtes, at Julies hus skal rives ned. Hardback, 158sider, illustreret af Harald Gripe. 321gram.", Skønlitteratur, Ungdom,,,,,,,,,
Rødt på hvidt - Hans Sølvhøj erindrer,Hans Sølvhøj, fra 1989 på forlaget Gyldendal. Hft. 227sider,ISBN: 87-00-81182-3,33310.jpg,25,5,, Studiebøger, Erindringer,,,,,,,,,
Claus Hjort - strategen bag det nye venstre,Jette Hvidtfeldt og Thomas Buch-Andersen, fra 2007 på forlaget Sohn ,ISBN: 87-91959-10-3,33326.jpg,35,6,"Hft. 317sider, illustreret. 466g.", Studiebøger, Erindringer, Biografier, Politik,,,,,,,
"Tales from the DENA - Indian stories from the Tanana, Koyukuk and Yukon Rivers",Fredericia de Laguna - Dale DeArmond, fra 1995 på forlaget University of Washington Press,,33330.jpg,40,6,"Indb. 352sider, illustreret. Engelsk tekst. 868gram", Skønlitteratur, Fortællinger, Amerika/USA,,,,,,,,
Vor Historie - indtil Dronning Margrete,Johan Ottosen, fra 1901 på forlaget FREM ,,33850.jpg,30,3,"Antikvarisk bog om den historiske udvikling fra Oldtid til Danmarks Dronning Margrete den første. Indb. 416 sider, illustreret. 669gram.", Historie:Kultur, Historie:Danmark,,,,,,,,,
THAI- Gyldendals små kogebøger,Steen Larsen,"2. udgave fra 2010 på forlaget Gyldendal. Hardback, 61sider, illustreret. 145g.",ISBN: 9788702086317,33487.jpg,20,6,"Thaimad er nem og spændende mad – populær over hele verden på grund af sin delikate balance af mange smagsindtryk: surt, sødt, krydret og mildt. Skab selv en række kulinariske oplevelser med disse enkle og hurtige opskrifter på salater, supper, fisk, kød, tilbehør, saucer og desserter. Prøv fx: • Kokossuppe med kylling• Lynstegte rejer med chili og cashewnødder• Grillstegt kød med jordnøddesauce• Oksekød i grøn karry med aubergine• Bananfritter• Papajadrink Steen Larsen er forfatter til flere fantasifulde kogebøger med inspiration fra hele verden.  Morten Bech Køster er kok og restauratør og har anrettet maden på de appetitvækkende fotos, som fotograf Tine Duch har taget.", Mad & gastronomi, Kogebøger,,,,,,,,,
Mysteriet om Liv på andre Planeter,Palle Vibe, fra 1994 på forlaget Gyldendal,ISBN: 87-00-17062-3,34098.jpg,10,3,"Hft. 48sider, illustreret. Udg.biblioteksbog med brugsspor. 136g.", Mystik/eventyr,,,,,,,,,,
Den grimme Ælling - H. C. Andersen og danske frimærker,Niels H. Bundgaard, fra 2005 på AFA-forlaget,ISBN: 87-7012-351-9,33663.jpg,20,5,"Hft. 61 sider, illustreret. 165g.", Faglitteratur, Hobby, Frimærker/mønter/medaljer/ordener,,,,,,,,
Kejserinde Orkide,Anchee Min,1. udgave fra 2004 på forlaget Lindhardt og Ringhof. Indb. 429sider. Som ny,ISBN: 8760421584,33506.jpg,30,6,, Skønlitteratur,,,,,,,,,,
Kender du Svimmel? - Skuespil,Sven Holm, fra 2005 på forlaget Gyldendal,ISBN: 87-02-03388-7,33237.jpg,30,6,Hft. 93sider. Som ny. 145g., Skønlitteratur, Skuespil,,,,,,,,,
Den radikale Holberg - Et brev og et udvalg ved Thomas Bredsdorff,Ludvig Holberg, fra 1984 på forlaget Rosinante,ISBN: 87-7357-039-7,34028.jpg,25,5,"Udvalg af Holberg-tekster, moderniseret, hvor Thomas Bredsdorff viser at den 300 årige Holberg kan være den radikale fornufts fader i Danmark, ophav til kulturradikalismen, og senere Brandes, Hørup, Scherfig, Henningsen. Indb. 156s, illustreret med J.F.Clemens stik. Udg.biblioteksbog, fin stand 261g", Studiebøger, Skønlitteratur, Litteraturvidenskab,,,,,,,,
Skov- og Surbundsbedet,Jørn Dannesboe,1. udgave fra 1999 på forlaget Gads,ISBN: 87-12-03254-9,33989.jpg,150,6,"Indb. 20x25cm. 304sider, illustreret. 1099gram", Faglitteratur, Hus & have,,,,,,,,,
Årets bedste GODNAT HISTORIER,Bolette Grabowski har oversat og genfortalt, fra 1985 på forlaget Lademann,ISBN: 87-15-03796-7,33364.jpg,35,5,Indb. 22x29cm. 224sider illustreret med tegninger. 1049gram, Skønlitteratur, Børnebøger,,,,,,,,,
Skillingsviserne om Christiansborg Slots brand 1884,Iørn Piø, fra 1959 på forlaget J. H. Schultz,,33241.jpg,30,5,Indb. 68sider. Fin stand. 203gram., Historie:Danmark, Digte, Dokumentar,,,,,,,,
En gren af nerver - en selvbiografisk beretning,John Nehm, fra 1977 på forlaget Fremad,ISBN: 87-557-0849-8,33791.jpg,20,5,Hft. 98sider. 193gram, Studiebøger, Psykologi, Biografier,,,,,,,,
Bedstemors Husråd,"Hans Schneeberger, Georges Zeller, Peter Oppliger", fra 1983 på forlaget Minerva,ISBN: 87-87929-44-9,33379.jpg,40,4,Hft. 184sider. 295gram, Studiebøger, Medicin, Krop & sind,,,,,,,,
Julekort fra gamle dage,Marianne Nordby Larsen, på forlaget Danmark,ISBN: 87-15-07676-8,34066.jpg,20,6,"Bogen for Postkort-samlere.
""Julekort fra gamle dage"" er beretningen om en af vore fineste traditioner. Verdens første egentlige julekort blev trykt i England i 1843 og det første danske julekort formentlig i 1882. Bogen handler om perioden ca. 1850-1914. Hft. 48sider. 88gram.", Samfund & historie, Kunst & kultur, Hobby,,,,,,,,
Mens kunsten er ung - en samtale mellem Knud W. Jensen og Niels Birger Wamberg,Niels Birger Wamberg (red), fra 1992 på forlaget Gyldendal,ISBN: 87-00-14588-2,33404.jpg,20,6,Hft. 130sider. 223gram., Kunst & kultur,,,,,,,,,,
Ledelse i øjenhøjde - til inspiration og refleksion,Susanne Teglkamp, på forlaget Sjællandske Medier,,33732.jpg,20,6,"Indb. 66sider, illustreret. 265gram", Ledelse & Management,,,,,,,,,,
Jeg valgte Friheden - Erindringer fra Sovjetunionen,Victor A. Kravchenko, fra 1947 på forlaget Prior,,34009.jpg,25,4,"Den senere sovjetiske afhopper Viktor Kravchenko var i efteråret 1932 medlem af en kornkommando. ""Jeg valgte friheden"" er hans erindringer, hvor han beskriver reaktionerne på hungersnøden hos forskellige medlemmer af kommandoen og hos lokale partifolk. Indb. 631sider. 956gram", Samfundsvidenskab, Rusland/Sovjetunionen, Historie:Verden, Erindringer,,,,,,,
"Træhesten, hundehullet og den spanske kappe",Gunnar Olsen, fra 1960 på forlaget Rosenkilde og Bagger,,33828.jpg,30,5,Fængslende beskrevet med nogle illustrationer. Kulturhistorisk fremstilling af bøndernes retsforhold og kår i tiden før stavnsbåndets løsning. Om landbefolkningens historie. Sammenligning og fokus på eftervirkninger helt op i vor tid. Indb. 152sider. Udg.biblioteksbog i fin stand. 360gram, Samfund & historie,,,,,,,,,,
Det jødiske køkken - 100 moderne og traditionelle retter,Elizabeth Wolf Cohen," fra 1998 på forlaget Könemann. Hft. 22x28cm. 128sider, illustreret. Fin stand",ISBN: 3-8290-0929-1,33977.jpg,50,5,, Mad & gastronomi,,,,,,,,,,
Nem fransk Mad - 500 opskrifter,H. P. Pellaprat,3. udgave på forlaget Edito,ISBN: 87-7433-151-5,33589.jpg,20,4,Indb. 173sider. 486g., Mad & gastronomi, Faglitteratur, Kogebøger,,,,,,,,
Nem mad for enhver,Jane Geertsen Jessen og Lene Kring Lorentzen (red),1. udgave fra 1987 på forlaget Det kgl. Danske Landhusholdningsselskab,ISBN: 87-7026-280-2,33751.jpg,20,5,Hft. 128sider. 270g., Mad & gastronomi, Faglitteratur, Kogebøger,,,,,,,,
Dagens Grønland,Tom Høyem, fra 1986 på forlaget Rhodos,ISBN: 87-7245-130-0,33964.jpg,30,5,"Bogen er en samling af nogle af de mange artikler, som forfatteren har skrevet i den tid han var Minister for Grønland. Hft. 227sider, illustreret. Forfatterens hilsen på 1.side. 371g.", Studiebøger, Samfundsvidenskab, Etnografi og Antropologi, Politik, Grønland,,,,,,
Sønderjylland med Vadehavet og Rømø - Egnsbeskrivelser,Bent Rying og Gregers A. Jensen (red), fra 1977 på forlaget Gyldendal,ISBN: 87-00-25272-7,33155.jpg,30,4,"Indb. 303sider, illustreret. 596g.", Lokalhistorie, Geografi, Dokumentar,,,,,,,,
Fra problem til metode - samfundsvidenskab,Keld Buciek,1. udgave fra 1996 på Roskilde Universitets forlag,ISBN: 87-7867-014-4,33823.jpg,25,4,"Hft. 186sider. God stand, uden markeringer, men der er et fugtskjold. 307g.", Studiebøger, Samfundsvidenskab,,,,,,,,,
BabyHåndbogen - handler om den første tid fra 0 til 2 år,Helle Andersen,5. udgave fra 2000 på forlaget Aschehoug,ISBN: 87-11-16041-1,33934.jpg,20,4,"Paperback, 12,5x16cm, 208sider", Studiebøger, Børn & forældre,,,,,,,,,
100 Kærlighedsdigte fra mange lande,i udvalg ved Tove Ditlevsen, fra 1977 på forlaget Notabene,ISBN: 87-7490-148-6,34079.jpg,20,6,"Indb. Kartonbind 13x13cm, 144sider, som ny", Skønlitteratur, Digte,,,,,,,,,
EUROPEAN FOLK ART in Europe and the Americas,H.J. Hansen, fra 1968 på forlaget McGraw-Hill. Indb. 26x31cm. i Kassette.,,33733.jpg,275,5,"With 109 color plates, 414 monochrome plates, 78 line illustrations.", Studiebøger, Samfundsvidenskab, Kunst & kultur, Antikviteter,,,,,,,
Farmor fra Nørrebro,Gudrun Riismøller, fra 1967 på forlaget Nyt nordisk,,33621.jpg,20,4,"Indb. 19x26cm. 52sider, illustreret med tegninger af Svend Otto S. - Udgået biblioteksbog. 387gram", Skønlitteratur, Børnebøger,,,,,,,,,
Nordboerne i Grønland,Jan Hjarnø, fra 1982 på forlaget Gyldendal,ISBN: 8701915010,33247.jpg,25,4,"Indb. 21x26,5cm. 38sider, illustreret med tegninger af Anne-Birthe Hove. Udgået biblioteksbog i fin stand. 388gram", Ungdom, Historie:Kultur, Grønland,,,,,,,,
Flakkende lys,Alan E. Fisher, fra 1982 på forlaget Danmark. Indb. 220sider,ISBN: 8715011283,33284.jpg,20,4,, Skønlitteratur, Krigs bøger,,,,,,,,,
Det forheksede nøglehul,Bente Koch,"2. udgave fra 1989 på forlaget Dingo-Gyldendal. Hft. 92sider, illustreret",,33384.jpg,15,3,Udg.biblioteksbog med alm.brugsspor, Børnebøger,,,,,,,,,,
"Forny din bolig - om boligindretning, stil og miljø",Ann Grafton,1. udgave fra 2003 på forlaget Møntergården. Indb. 24x29cm. 191sider. Som ny,ISBN: 8779011438,33789.jpg,100,6,, Faglitteratur, Bolig,,,,,,,,,
Den store BOLIG indretningsbog,Anoop Parikh,1. udgave fra 1995 på forlaget Høst & søn. Indb. 27x30cm. 207sider. Som ny,ISBN: 8714293544,33735.jpg,100,6,, Faglitteratur, Bolig,,,,,,,,,
De himmelske græsgange,John Steinbeck, fra 1942 på forlaget Nordisk,,34134.jpg,25,4,Indb. 200sider. 540g., Skønlitteratur, Romaner,,,,,,,,,
Kvækerne og deres Indsats paa det mellemfolkelige Område,Carl Dalgaard, fra 1945 på forlaget Aug. Olsens Boghandel,,33482.jpg,20,3,"Faglig Læsning nr 178 - Tidsskrift for Skole og Hjem.
Hft. Kartonbind 13x20cm. 19sider. Udg.biblioteksbog. 82g.", Studiebøger, Samfundsvidenskab,,,,,,,,,
Kvindens ny tid - Menopausen som positiv overgang. Råd og vejledning,Leonard Mervyn, fra 1991 på forlaget Hovedland,ISBN: 87-7739-069-5,34026.jpg,20,6,Hft. 86sider. Som ny. 116g., Sundhed, Psykologi,,,,,,,,,
Lyrik der synges,Leif Ludwig Albertsen, fra 1978 på forlaget Berlingske,ISBN: 8719357192,34046.jpg,20,5,Hft. 168sider. 168g., Skønlitteratur, Digte,,,,,,,,,
The Great PETER - Fodbold: Peter Schmeichel,Egon Balsby (red),1. udgave fra 1999 på forlaget Børsen,ISBN: 87-7901-069-5,33262.jpg,30,5,"Indb. 261sider, illustreret. Dansk tekst. 702g.", Idræt, Biografier,,,,,,,,,
Nyd livet uden at ældes - vejledning om kost og motion.,Else Algreen og Erik Olaf-Hansen, fra 1967 på forlaget Gyldendal ,,33922.jpg,35,4,Indb. 170sider.  546g., Studiebøger, Sundhed,,,,,,,,,
Europa ser på dig - tanke og billede gennem 3000år,Hans Mølbjerg, fra 1992 på forlaget Gyldendal ,ISBN: 87-00-10708-5,33687.jpg,40,4,Indb. 18x25cm. 389sider med flotte ill. i s/h og farve. Udg.biblioteksbog i pæn stand. 1260g., Studiebøger,,,,,,,,,,
Hellighed og autoritet i oldkirken,Helge Petersen, fra 1968 på forlaget G.E.C Gads ,,33218.jpg,30,4,En konfrontation udfra Augustins De Baptismo af to kirkesyn. Hft. 287sider. 539g., Studiebøger, Religion,,,,,,,,,
Islandske Sagaer: Ravnkel Frøjgodes Saga og Gisle Surssøns Saga,"Thomas Bredsdorff, udvalg og efterskrift", fra 1967 på forlaget Gyldendal,,33570.jpg,20,5,Indb. 147sider. 270g., Skønlitteratur, Fortællinger,,,,,,,,,
Vi klarer det ! - Farefulde opdagelsesrejser og dristige Eventyr,Peter Legard Nielsen (red), fra 2001 på forlaget Forum,ISBN: 87-553-3205-6,33432.jpg,40,6,"19 forfattere beretter om dramatiske begivenheder.
Indb. 305sider. Som ny. 569g.", Opdagelsesrejser - ekspeditioner, Fortællinger,,,,,,,,,
"Lademanns rytter ordbog - om ridning, kørsel med heste, væddeløb, hesteracer mm",Poul Lindegaard, fra 1983 på forlaget Lademann,ISBN: 87-15-07695-4,33189.jpg,20,5,"Indb. 64sider, illustreret. 198g.", Faglitteratur, Heste/Ridning, Sport & fritid,,,,,,,,
"The balanced scorecard - Sådan bygges bro mellem vision, værdier og strategier.",Robert S. Kaplan og David P. Norton, fra 1998 på forlaget Børsen,ISBN: 87-7553-621,33816.jpg,40,5,"Indb. 357sider, på dansk. I god stand uden markeringer. 707g.", Studiebøger, Økonomi, Ledelse & Management, Markedsføring,,,,,,,
"Hekseæg, stjernebolde og andre svampe - læsning til naturfagstimen nr 10",A. R. Andersson, fra 1966 på forlaget Gyldendal ,,33586.jpg,20,5,"Indb. 72sider, illustreret. Udg.biblioteksbog i fin stand. 253g.", Natur, Studiebøger,,,,,,,,,
Clair De Lune - roman om Claude Debussy,Pierre La Mure, fra 1963 på forlaget Branner og Korch ,,33642.jpg,25,4,Romanen er bygget over Claude Debussys liv af forfatteren til Moulin Rouge. Hft. 421sider.  833g., Skønlitteratur, Romaner,,,,,,,,,
Spies. Et eventyr,Henrik Madsen, fra 1994 på forlaget Børsen bogklub,ISBN: 87-7553-431-2,34075.jpg,25,5,"Indb. 242sider, illustreret. 502g.", Studiebøger, Biografier,,,,,,,,,
Sleepers,Lorenzo Carcaterra, fra 1996 på forlaget Egmont ,ISBN: 87-608-0163-8,33248.jpg,25,5,En virkelig historie om fire venner for livet: opholdet på drengehjemmet var et mareridt af mishandling og ydmygelse. Mange år senere fandt de sammen for at få hævn. - Indb. 316sider. 598g., Skønlitteratur, Fortællinger,,,,,,,,,
Lykkens pris,Barbara Wood, fra 1998 på forlaget Lademann,ISBN: 87-15-10336-6,34008.jpg,30,4,Indb. 394sider. 589g., Skønlitteratur, Romaner,,,,,,,,,
Krydderurter & Krydderier,Kirsten Høeg-Larsen, fra 1975 på forlaget Gyldendal,ISBN: 87-00-95401-2,33192.jpg,15,4,Hft. 151sider. 188g., Faglitteratur, Hus & have,,,,,,,,,
Herremand og Hovbonde - supplerende læsning til orienteringsfagene,Gunnar Olsen og Poul Alkærsig, fra 1963 på forlaget Aschehougqq,,33899.jpg,20,5,"Indb. 72sider, illustreret. Udg.biblioteksbog i fin stand. 200g.", Studiebøger,,,,,,,,,,
